house_size_m2,bedrooms,building_age_years,city,heating_type,insulation_grade,average_temperature_c,energy_consumption_kwh
149.6,4,68.0,Hamburg,Gas,C,8.3,9367.1
85.1,1,1.0,Munich,Heat Pump,B,-2.0,7471.7
171.0,3,49.0,Hamburg,Electric,C,2.0,11506.6
520.0,5,22.8,Berlin,District,C,6.3,34000.0
41.4,1,28.7,Berlin,Electric,D,,8180.4
72.5,4,6.8,Munich,District,A,8.5,5293.2
141.1,4,22.6,Munich,Electric,D,10.7,9637.3
119.8,4,58.6,Munich,Heat Pump,C,8.9,7390.0
134.2,3,,Hamburg,Gas,,15.7,5732.2
94.1,2,68.1,Hamburg,Electric,C,7.1,8613.1
177.2,4,55.9,Munich,Heat Pump,D,6.2,10569.3
172.3,4,39.7,Munich,District,B,12.9,7260.7
138.2,6,68.4,Berlin,Heat Pump,D,2.8,10263.3
189.1,5,39.7,Hamburg,Gas,B,12.4,8014.3
157.4,5,48.2,Munich,Gas,C,11.0,9041.4
93.8,2,23.5,,Gas,D,9.8,8286.0
152.7,5,31.5,Munich,Gas,B,18.4,7663.8
89.0,3,14.7,Hamburg,Heat Pump,C,7.4,5924.7
177.2,5,51.8,Berlin,Heat Pump,B,20.8,6499.4
132.6,4,4.1,Hamburg,Heat Pump,C,9.4,7063.7
126.1,3,47.2,Hamburg,District,C,4.1,9141.7
102.3,3,25.8,Cologne,Heat Pump,B,10.8,5531.4
193.7,5,55.8,Hamburg,Heat Pump,B,5.1,9282.2
127.6,2,46.5,Cologne,Gas,B,6.7,8097.9
114.4,2,70.1,Munich,Gas,A,12.5,7338.7
,4,46.1,Cologne,Electric,A,13.3,6252.0
160.6,6,1.0,Hamburg,,B,7.4,8140.1
152.5,5,28.5,Munich,Gas,A,15.4,6194.2
154.8,4,4.2,Hamburg,Electric,A,,6168.3
155.7,5,18.6,Munich,Heat Pump,C,17.7,5955.1
237.8,8,63.2,,Gas,C,13.1,10908.5
115.5,4,44.0,Cologne,Electric,C,17.3,7733.2
110.4,3,14.6,Leipzig,District,B,1.1,7594.5
95.9,4,7.7,Leipzig,Heat Pump,D,8.9,6890.0
164.6,5,30.7,Hamburg,Gas,C,6.2,9298.8
189.2,7,3.2,Hamburg,District,A,11.1,6961.8
129.5,4,15.2,Cologne,Gas,A,7.6,6261.3
