date,passengers
1949-01-01,112
1949-02-01,118
1949-03-01,132
1949-04-01,129
1949-05-01,121
1949-06-01,135
1949-07-01,148
1949-08-01,148
1949-09-01,136
1949-10-01,119
1949-11-01,104
1949-12-01,118
1950-01-01,115
1950-02-01,126
1950-03-01,141
1950-04-01,135
1950-05-01,125
1950-06-01,149
1950-07-01,170
1950-08-01,164
1950-09-01,151
1950-10-01,180
1950-11-01,193
1950-12-01,186
1951-01-01,174
1951-02-01,160
1951-03-01,196
1951-04-01,218
1951-05-01,211
1951-06-01,186
1951-07-01,231
1951-08-01,257
1951-09-01,263
1951-10-01,249
1951-11-01,280
1951-12-01,284
1952-01-01,277
1952-02-01,317
1952-03-01,325
1952-04-01,335
1952-05-01,318
1952-06-01,362
1952-07-01,348
1952-08-01,363
1952-09-01,435
1952-10-01,491
1952-11-01,505
1952-12-01,404
1953-01-01,359
1953-02-01,437
1953-03-01,506
1953-04-01,432
1953-05-01,405
1953-06-01,481
1953-07-01,517
1953-08-01,525
1953-09-01,595
1953-10-01,596
1953-11-01,628
1953-12-01,622
1954-01-01,598
1954-02-01,548
1954-03-01,582
1954-04-01,611
1954-05-01,604
1954-06-01,634
1954-07-01,658
1954-08-01,622
1954-09-01,644
1954-10-01,653
1954-11-01,681
1954-12-01,655
1955-01-01,622
1955-02-01,727
1955-03-01,725
1955-04-01,706
1955-05-01,734
1955-06-01,750
1955-07-01,711
1955-08-01,747
1955-09-01,785
1955-10-01,715
1955-11-01,773
1955-12-01,828
1956-01-01,726
1956-02-01,796
1956-03-01,867
1956-04-01,912
1956-05-01,820
1956-06-01,853
1956-07-01,895
1956-08-01,890
1956-09-01,810
1956-10-01,812
1956-11-01,888
1956-12-01,913
1957-01-01,929
1957-02-01,1045
1957-03-01,1089
1957-04-01,1005
1957-05-01,1066
1957-06-01,1072
1957-07-01,1102
1957-08-01,1028
1957-09-01,1083
1957-10-01,1114
1957-11-01,1074
1957-12-01,1084
1958-01-01,1152
1958-02-01,1178
1958-03-01,1159
1958-04-01,1163
1958-05-01,1185
1958-06-01,1154
